"UIC","Tray-ID","Date","Testing duration","Erasure technician","Final_Grade","Hardware test summary","Mandatory_Test","Mobile name","Market name","Device_Color","BQ_BatteryChargeRange","Mobile IMEI","Mobile IMEI2","_ro.imei.check","ChargingJack","CrackedLens","Fingerprint","FlashLight","HomeKey","PQ_BatteryBulging","PQ_BentonDevicebody","PQ_CrackDevicebody","PQ_DentDevicebody","PQ_HeadphoneJack_3.5mm","PQ_MissingParts","PQ_ScratchChromeSide","PQ_ScratchesBackpanel","PQ_ScratchesDisplay","PQ_ScreenCracked","PQ_Screen_Type","PowerKey","SIMTray","SilentKey","VolumeKey","Carrier signal test","Carrier signal sim 2 test","Wi-fi test","Bluetooth test","Microphone test","Speaker microphone test","Front microphone test","Headset microphone test","Speaker microphone front test","Receiver test","Headset test","Front camera test","Video test","Auto focus test","Camera flash test","Front camera flash test","Battery charging test","Headset test","Touch test","Proximity test","Compass test","Light test","Vibration test","Home key test","Volume keys test","Screen lock key test","Back key test","Recent/Menu key test","Screen test","Live call test","Live call sim 2 test","Screen damage test","Assisted front camera test","Fingerprint test","Multi-touch test","Face ID test","Auto rotation test","Infrared test","FM radio test","Product Version","Product Name","Operating system version","System manufacturer","System model","Mobile internal model","System serial","Operating system name","Total memory","Business name","Business location","Report ID","Rooted","Mobile internal model","FRP","FRP_Status","blancco_data.blancco_hardware_report.system.mdm_status","Operating system name","Operating system version","blancco_data.blancco_hardware_report.hardware_tests.auto_fingerprint","Device color","Disk capacity","AGPS test","Assisted camera test","Silent key test","Speaker test","_ro.ril.miui.imei0","Back camera test","Find My iPhone"
"91010001576","WHT1065","2023-08-26 07:53:37","00:05:08","sameer.bqc.ggn.100013","B","successful",,"iPhone 6 GSM+CDMA 32GB Gold","iPhone 6",,"50-80 %","356645081977573",,,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","Yes","No","3","4","2","No","Original Folder","Successful","Successful","Successful","Successful",,,"successful","successful",,"successful","successful",,"successful","successful",,"successful","successful","successful","successful",,"successful",,"successful","successful","successful","successful","successful","successful","successful","successful",,,"successful","successful",,"successful","successful","successful","successful","not available","successful",,,"4.15.1","Blancco Mobile Diagnostics and Erasure","12.5.5","Apple, Inc.","iPhone 6 GSM+CDMA 32GB Gold","MQ3E2","FFPW99XSHXR6","iOS","1GB",,,"119369942",,"MQ3E2",,,"Unlocked","iOS","12.5.5","successful","Gold","32000000000","successful","successful","successful","successful",,"successful","Unlocked"
"93080714874","WHT1100","2023-08-26 10:52:15","00:22:20","sameer.bqc.ggn.100013","D","failed",,"GM1901","OnePlus 7","Gray","10-49 %","867254041622056","867254041622049",,"Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","4","4","Yes","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","failed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"failed","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","29eed3e6","Android","6GB",,,"119373554","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080214615","WHT10009","2023-08-25 05:47:48","00:02:51","sameer.bqc.ggn.100013","B","successful",,"AC2001","OnePlus Nord","Gray","10-49 %","866801057312617","866801057312609",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","e03126cf","Android","8GB",,,"119276503","Not rooted","AC2001","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080214660","WHT1799","2023-08-25 07:28:49","00:04:19","sameer.bqc.ggn.100013","D","failed",,"GM1911","OnePlus 7 Pro","Blue","10-49 %","865166049128559","865166049128542",,"Successful","Successful","Successful","Successful","Successful","No","No","5","2","No","No","4","3","4","Yes","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","failed","failed",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","failed","successful","successful","failed","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1911","GM1911","a1c30d77","Android","8GB",,,"119283622","Not rooted","GM1911","Unlocked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93080214622","WHT1799","2023-08-25 07:45:48","00:02:40","sameer.bqc.ggn.100013","D","failed",,"GM1911","OnePlus 7 Pro","Blue","81 %+","865166047403392","865166047403384","no","Successful","Successful","Successful","Successful","Successful","No","No","5","3","No","No","4","3","5","Yes","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","11","OnePlus","GM1911","GM1911","eb40a590","Android","8GB",,,"119284840","Not rooted","GM1911","Unlocked",,"Unlocked","Android","11",,,"256000000000","successful","successful",,"successful",,"successful",
"93080714819","WHT1100","2023-08-26 10:04:19","00:03:34","sameer.bqc.ggn.100013","C","failed",,"GM1901","OnePlus 7","Blue","50-80 %","869430047841878","869430047841860",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","2","1","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","08615f34","Android","6GB",,,"119372656","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080714870","WHT1100","2023-08-26 09:43:01","00:02:20","sameer.bqc.ggn.100013","B","successful",,"GM1901","OnePlus 7","Blue","50-80 %","867254042442595","867254042442587",,"Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","3","2","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","e82ffe94","Android","6GB",,,"119372073","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93081215021","WHT1446","2023-08-28 06:56:34","00:02:16","sameer.bqc.ggn.100013","C","failed",,"Redmi Note 8","Redmi Note 8","Blue","10-49 %","862759049394511","862759049394529",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","Yes","No","3","2","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"successful",,"successful","successful","successful","successful","successful","successful","not available","successful","successful","successful","successful","successful","successful","failed","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","successful","successful","5.0.2","Blancco Mobile Diagnostics and Erasure","11","Xiaomi","Redmi Note 8","Redmi Note 8","8a300c6","Android","6GB",,,"119439021","Not rooted","Redmi Note 8","Unlocked",,"Unlocked","Android","11",,,"128000000000","successful","successful",,"successful","862759049394511","successful",
"93080214590","WHT10009","2023-08-25 06:02:54","00:05:17","sameer.bqc.ggn.100013","B","successful",,"AC2001","OnePlus Nord","Gray","50-80 %","866801059026710","866801059026702","no","Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","2","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","10","OnePlus","AC2001","AC2001","d67c9287","Android","12GB",,,"119277293","Not rooted","AC2001","Unlocked",,"Unlocked","Android","10",,,"256000000000","successful","successful",,"successful",,"successful",
"93080714822","WHT1996","2023-08-25 11:43:47","00:04:31","sameer.bqc.ggn.100013","D","failed",,"HD1901","OnePlus 7T","Blue","10-49 %","868539042018059","868539042018042","no","Successful","Successful","Successful","Successful","Successful","No","No","5","0","No","Yes","3","3","3","No","Original Folder","Successful","Failed","Successful","Successful","failed","failed","successful","successful","successful","successful",,"not performed",,"successful","not performed","failed","failed","not performed","not available","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","failed","failed",,"not performed","not available","successful","failed","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","11","OnePlus","HD1901","HD1901","23feeb2f","Android","8GB",,,"119299566","Not rooted","HD1901","Unlocked",,"Unlocked","Android","11",,,"256000000000","failed","not performed",,"successful",,"failed",
"93080714828","WHT1996","2023-08-25 12:14:19","00:06:28","sameer.bqc.ggn.100013","C","failed",,"HD1901","OnePlus 7T","Gray","81 %+","868539041151414","868539041151406","no","Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","5","2","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","failed","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","11","OnePlus","HD1901","HD1901","9b9dcfd6","Android","8GB",,,"119302008","Not rooted","HD1901","Unlocked",,"Unlocked","Android","11",,,"128000000000","successful","successful",,"successful",,"successful",
"93080714810","WHT1100","2023-08-26 13:10:23","00:01:57","sameer.bqc.ggn.100013","B","failed",,"GM1901","OnePlus 7","Blue","81 %+","869430047887418","869430047887400",,"Successful","Successful","Successful","Successful","Successful","No","No","0","3","No","No","4","3","4","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"failed","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","3f3a3d6d","Android","6GB",,,"119379794","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93081215005","WHT1446","2023-08-28 09:00:08","00:07:53","sameer.bqc.ggn.100013","C","failed",,"Redmi Note 8","Redmi Note 8","Blue","10-49 %","861182047296623","861182047296631",,"Successful","Failed","Failed","Successful","Successful","No","No","2","1","Yes","No","3","5","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"successful",,"successful","successful","successful","successful","successful","successful","not available","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","successful","successful","successful","successful","successful","successful","5.0.2","Blancco Mobile Diagnostics and Erasure","11","Xiaomi","Redmi Note 8","Redmi Note 8","1742265b","Android","4GB",,,"119446906","Not rooted","Redmi Note 8","Locked",,"Unlocked","Android","11",,,"64000000000","failed","successful",,"successful","861182047296623","successful",
"93081214937","WHT1446","2023-08-28 07:47:26","00:03:44","sameer.bqc.ggn.100013","C","failed",,"Redmi Note 8","Redmi Note 8","Black","10-49 %","869090041016388","869090041016396",,"Successful","Successful","Successful","Successful","Successful","No","No","0","2","Yes","No","3","4","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"successful",,"successful","successful","successful","successful","successful","successful","not available","successful","successful","successful","successful","successful","successful","failed","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","successful","successful","successful","successful","successful","successful","5.0.2","Blancco Mobile Diagnostics and Erasure","11","Xiaomi","Redmi Note 8","Redmi Note 8","1465a937","Android","4GB",,,"119442597","Not rooted","Redmi Note 8","Locked",,"Unlocked","Android","11",,,"64000000000","successful","successful",,"successful","869090041016388","successful",
"93081215001","WHT1446","2023-08-28 09:05:08","00:03:04","sameer.bqc.ggn.100013","D","successful",,"Redmi Note 8","Redmi Note 8","White","81 %+","862759047263460","862759047263478",,"Successful","Successful","Successful","Successful","Successful","Yes","No","0","2","Yes","No","3","3","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"successful",,"successful","successful","successful","successful","successful","successful","not available","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","successful","successful","5.0.2","Blancco Mobile Diagnostics and Erasure","11","Xiaomi","Redmi Note 8","Redmi Note 8","1358d18d","Android","4GB",,,"119447167","Not rooted","Redmi Note 8","Unlocked",,"Unlocked","Android","11",,,"64000000000","successful","successful",,"successful","862759047263460","successful",
"93080714684","WHT10009","2023-08-25 05:16:27","00:06:52","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Gray","10-49 %","865276045602653","865276045602646",,"Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","3","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","failed","successful","successful","successful","failed","successful","successful",,"failed","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","89385ecc","Android","8GB",,,"119274734","Not rooted","AC2001","Unlocked",,"Unlocked","Android","12",,,"128000000000","failed","successful",,"successful",,"successful",
"93080714692","WHT10009","2023-08-25 06:39:14","00:08:24","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Blue","10-49 %","866801056816774","866801056816766",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","Yes","No","3","2","3","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","9e4cbc69","Android","12GB",,,"119280051","Not rooted","AC2001","Unlocked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93080714680","WHT1996","2023-08-25 10:56:46","00:02:50","sameer.bqc.ggn.100013","B","successful",,"HD1901","OnePlus 7T","Blue","10-49 %","861894043655418",,,"Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","3","2","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","HD1901","HD1901","5887c525","Android","8GB",,,"119296823","Not rooted","HD1901","Locked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
