UIC,Tray-ID,Date,Testing duration,Erasure technician,Final_Grade,Hardware test summary,Mandatory_Test,Mobile name,Market name,Device_Color,BQ_BatteryChargeRange,Mobile IMEI,Mobile IMEI2,_ro.imei.check,ChargingJack,CrackedLens,Fingerprint,FlashLight,HomeKey,PQ_BatteryBulging,PQ_BentonDevicebody,PQ_CrackDevicebody,PQ_DentDevicebody,PQ_HeadphoneJack_3.5mm,PQ_MissingParts,PQ_ScratchChromeSide,PQ_ScratchesBackpanel,PQ_ScratchesDisplay,PQ_ScreenCracked,PQ_Screen_Type,PowerKey,SIMTray,SilentKey,VolumeKey,Carrier signal test,Carrier signal sim 2 test,Wi-fi test,Bluetooth test,Microphone test,Speaker microphone test,Front microphone test,Headset microphone test,Speaker microphone front test,Receiver test,Headset test,Front camera test,Video test,Auto focus test,Camera flash test,Front camera flash test,Battery charging test,Headset test,Touch test,Proximity test,Compass test,Light test,Vibration test,Home key test,Volume keys test,Screen lock key test,Back key test,Recent/Menu key test,Screen test,Live call test,Live call sim 2 test,Screen damage test,Assisted front camera test,Fingerprint test,Multi-touch test,Face ID test,Auto rotation test,Infrared test,FM radio test,Product Version,Product Name,Operating system version,System manufacturer,System model,Mobile internal model,System serial,Operating system name,Total memory,Business name,Business location,Report ID,Rooted,Mobile internal model,FRP,FRP_Status,blancco_data.blancco_hardware_report.system.mdm_status,Operating system name,Operating system version,blancco_data.blancco_hardware_report.hardware_tests.auto_fingerprint,Device color,Disk capacity,AGPS test,Assisted camera test,Silent key test,Speaker test,_ro.ril.miui.imei0,Back camera test
92110007721,WHT1004,5/1/2023 5:01,0:02:23,dilip,B,successful,,Redmi Note 7S,Redmi Note 7S,Black,81 %+,865230044314869,865230044314877,,Successful,Successful,Successful,Successful,Successful,No,No,0,3,Yes,No,1,2,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,10,Xiaomi,Redmi Note 7S,Redmi Note 7S,10eefc12,Android,4GB,,,98477858,Not rooted,Redmi Note 7S,Unlocked,,Unlocked,Android,10,,,64000000000,successful,successful,,successful,865230044314869,successful
92110007644,WHT1004,5/1/2023 5:13,0:01:55,dealsdray.mohd.ali,D,failed,,Redmi Note 8 Pro,Redmi Note 8 pro,Silver,50-80 %,867974043362993,867974043363009,,Successful,Successful,Successful,Successful,Successful,No,No,7,6,Yes,No,6,0,2,No,Copy Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,failed,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,59qky57pgqp75x55,Android,6GB,,,98478638,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,867974043362993,successful
92110007626,WHT1004,4/1/2023 9:26,0:14:02,dealsdray.mohd.aleem,B,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Blue,81 %+,866163041559971,866163041559989,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,2,0,4,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,gmnzl7aa5lfegmjv,Android,6GB,,,98399079,Not rooted,Redmi Note 8 Pro,Locked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,866163041559971,successful
92110007710,WHT1004,4/1/2023 4:56,0:03:54,dilip,A,successful,,Redmi Note 9 Pro,Redmi Note 9S,Blue,50-80 %,865715041502458,865715041502466,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,1,0,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 9 Pro,Redmi Note 9 Pro,a6950d0,Android,4GB,,,98387766,Not rooted,Redmi Note 9 Pro,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,865715041502458,successful
92110007727,WHT1004,4/1/2023 6:03,0:04:42,dilip,B,successful,,Redmi Note 9 Pro,Redmi Note 9S,Green,50-80 %,864782043987575,864782043987583,,Successful,Successful,Successful,Successful,Successful,No,No,0,4,Yes,No,0,0,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,10,Redmi,Redmi Note 9 Pro,Redmi Note 9 Pro,fe2485e9,Android,4GB,,,98390124,Not rooted,Redmi Note 9 Pro,Unlocked,,Unlocked,Android,10,,,64000000000,successful,successful,,successful,864782043987575,successful
92110007465,WHT1004,4/1/2023 10:14,0:03:49,dilip,A,successful,,Redmi Note 7S,Redmi Note 7S,Blue,81 %+,865179048009118,865179048009126,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,1,0,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,10,xiaomi,Redmi Note 7S,Redmi Note 7S,1e4ac47b,Android,3GB,,,98401144,Not rooted,Redmi Note 7S,Unlocked,,Unlocked,Android,10,,,32000000000,successful,successful,,successful,865179048009118,successful
92110007793,WHT1004,4/1/2023 12:26,0:03:28,ayush,D,failed,Skiped,Redmi 6A,Redmi 6A,Black,10-49 %,867170045696468,867170045696476,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,Yes,1,10,2,No,Copy Folder,Successful,Failed,Successful,Successful,successful,successful,not performed,successful,successful,successful,,successful,,failed,successful,successful,successful,failed,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,failed,successful,successful,,successful,not available,successful,not available,successful,not available,successful,4.14,Blancco Mobile Diagnostics and Erasure,8.1.0,Xiaomi,Redmi 6A,Redmi 6A,3a3b3c4a7d2b,Android,2GB,,,98406408,Not rooted,Redmi 6A,Unlocked,,Unlocked,Android,8.1.0,,,16000000000,not performed,failed,,successful,867170045696468,successful
92110007723,WHT1004,4/1/2023 13:02,0:02:04,pp.sunil.sharma,C,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,White,50-80 %,866566044998212,866566044998220,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,3,5,4,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,z9sgw4vghi7xvst4,Android,8GB,,,98408316,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,866566044998212,successful
92110007698,WHT1004,4/1/2023 5:24,0:02:25,dealsdray.mohd.ali,B,successful,,M2003J15SC,Redmi Note 9,Blue,50-80 %,860862043669938,860862043669946,,Successful,Successful,Successful,Successful,Successful,No,No,1,3,Yes,No,2,2,2,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,M2003J15SC,M2003J15SC,72c1ceaa0405,Android,4GB,,,98388734,Not rooted,M2003J15SC,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,860862043669938,successful
92110007684,WHT1004,4/1/2023 5:27,0:04:14,dilip,A,successful,,Redmi Note 9 Pro,Redmi Note 9S,Green,50-80 %,860228046429292,860228046429300,,Successful,Successful,Successful,Successful,Successful,No,No,0,2,Yes,No,0,0,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,10,Redmi,Redmi Note 9 Pro,Redmi Note 9 Pro,fdc4f9ab,Android,4GB,,,98388801,Not rooted,Redmi Note 9 Pro,Unlocked,,Unlocked,Android,10,,,64000000000,successful,successful,,successful,860228046429292,successful
92110007729,WHT1004,4/1/2023 10:01,0:03:42,ayush,D,failed,Skiped,Redmi 6A,Redmi 6A,Black,10-49 %,860435046793037,860435046793052,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,0,2,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,not performed,not performed,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,failed,,successful,not available,successful,not available,successful,not available,successful,4.14,Blancco Mobile Diagnostics and Erasure,9,Xiaomi,Redmi 6A,Redmi 6A,33c7720f7d2b,Android,2GB,,,98400567,Not rooted,Redmi 6A,Unlocked,,Unlocked,Android,9,,,16000000000,not performed,successful,,failed,860435046793037,successful
92110007738,WHT1004,4/1/2023 9:44,0:04:59,dealsdray.mohd.aleem,D,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Green,81 %+,866163048981152,866163048981160,,Successful,Successful,Successful,Successful,Successful,Yes,No,4,2,Yes,No,4,10,3,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,4pskof7x7l5x85hy,Android,6GB,,,98399827,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,866163048981152,successful
92110007680,WHT1004,4/1/2023 10:21,0:08:07,dealsdray.mohd.aleem,B,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Black,50-80 %,867974044417259,867974044417267,,Successful,Successful,Successful,Successful,Successful,No,No,0,3,Yes,No,4,3,3,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,pv9tbu4tob8xaqoz,Android,6GB,,,98401369,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,867974044417259,successful
92110007794,WHT1004,4/1/2023 11:51,0:09:19,deepankar,B,successful,,Redmi Note 7S,Redmi Note 7S,Blue,81 %+,861067048735135,861067048735143,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,0,4,4,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13,Blancco Eraser for Apple Devices,10,Xiaomi,Redmi Note 7S,Redmi Note 7S,25b0dea6,Android,3GB,,,98404967,Not rooted,Redmi Note 7S,Unlocked,,Unlocked,Android,10,,,32000000000,successful,successful,,successful,861067048735135,successful
92110007647,WHT1004,4/1/2023 5:17,0:02:14,dealsdray.mohd.ali,A,successful,,M2003J15SC,Redmi Note 9,Blue,81 %+,864391043060092,864391043060100,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,0,0,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,M2003J15SC,M2003J15SC,953f06690408,Android,4GB,,,98388468,Not rooted,M2003J15SC,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,864391043060092,successful
92110007639,WHT1004,4/1/2023 12:57,0:03:39,pp.sunil.sharma,C,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Green,50-80 %,861762040907795,861762040907803,,Successful,Successful,Successful,Successful,Successful,No,No,6,1,Yes,No,3,5,5,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,fiswz5ams4pzjn9d,Android,6GB,,,98407974,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,861762040907795,successful
92110007725,WHT1004,4/1/2023 9:45,0:12:35,deepankar,C,failed,,Redmi Note 7S,Redmi Note 7S,Blue,10-49 %,865230045163463,865230045163471,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,0,2,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,failed,,successful,failed,successful,successful,successful,successful,not available,successful,failed,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,not performed,4.13,Blancco Eraser for Apple Devices,10,Xiaomi,Redmi Note 7S,Redmi Note 7S,10d65ab2,Android,4GB,,,98399860,Not rooted,Redmi Note 7S,Unlocked,,Unlocked,Android,10,,,64000000000,successful,successful,,successful,865230045163463,successful
92110007642,WHT1004,4/1/2023 9:27,0:04:22,pp.sunil.sharma,D,failed,,Redmi Note 9 Pro Max,Redmi Note 9 Pro Max,Green,50-80 %,865528052375551,865528052375569,,Successful,Successful,Successful,Successful,Successful,No,No,2,3,Yes,No,4,5,5,Yes,Copy Folder,Successful,Successful,Successful,Successful,successful,not performed,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,failed,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 9 Pro Max,Redmi Note 9 Pro Max,ad2576c7,Android,6GB,,,98399129,Not rooted,Redmi Note 9 Pro Max,Locked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,865528052375551,successful
92110007622,WHT1004,4/1/2023 11:31,0:02:56,dealsdray.mohd.ali,B,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Black,50-80 %,867974041900935,867974041900943,,Successful,Successful,Successful,Successful,Successful,No,No,0,3,Yes,No,4,1,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,aqtkjfvo458hx4t4,Android,6GB,,,98404100,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,867974041900935,successful
92110007421,WHT1004,4/1/2023 12:09,0:14:57,dealsdray.mohd.aleem,B,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Green,81 %+,866566049027272,866566049027280,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,3,0,1,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,swugpfhmqc9dto4t,Android,6GB,,,98405674,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,866566049027272,successful
